:ID,company_name,code,:LABEL
193,曼卡龙,300945.SZ,company
194,创意信息,300366.SZ,company
195,浙江东日,600113.SH,company
196,华控赛格,000068.SZ,company
197,盘江股份,600395.SH,company
198,四方股份,601126.SH,company
199,日照港,600017.SH,company
200,威派格,603956.SH,company
201,美尚生态,300495.SZ,company
202,古越龙山,600059.SH,company
203,通富微电,002156.SZ,company
204,ST东电,000585.SZ,company
205,新智认知,603869.SH,company
206,泰晶科技,603738.SH,company
207,新松机器人,300024.SZ,company
208,ST天成,600112.SH,company
209,康众医疗,688607.SH,company
210,省广集团,002400.SZ,company
211,大连重工,002204.SZ,company
212,大连圣亚,600593.SH,company
213,财信发展,000838.SZ,company
214,重庆港九,600279.SH,company
215,新华制药,000756.SZ,company
216,中国国贸,600007.SH,company
217,中国电信,601728.SH,company
218,铜陵有色,000630.SZ,company
219,高斯贝尔,002848.SZ,company
220,海正药业,600267.SH,company
221,宝馨科技,002514.SZ,company
222,开滦股份,600997.SH,company
223,广深铁路,601333.SH,company
224,银轮股份,002126.SZ,company
225,欢瑞世纪,000892.SZ,company
226,太极股份,002368.SZ,company
227,嘉元科技,688388.SH,company
228,宝鹰股份,002047.SZ,company
229,华亚智能,003043.SZ,company
230,景旺电子,603228.SH,company
231,合肥城建,002208.SZ,company
232,鸿泉物联,688288.SH,company
233,三只松鼠,300783.SZ,company
234,迈信林,688685.SH,company
235,味知香,605089.SH,company
236,芳源股份,688148.SH,company
237,贝达药业,300558.SZ,company
238,万润科技,002654.SZ,company
239,成都燃气,603053.SH,company
240,广州浪奇,000523.SZ,company
241,德威新材,300325.SZ,company
242,金能科技,603113.SH,company
243,西藏药业,600211.SH,company
244,永和智控,002795.SZ,company
245,航锦科技,000818.SZ,company
246,苏垦农发,601952.SH,company
247,爱婴室,603214.SH,company
248,富安娜,002327.SZ,company
249,东方锆业,002167.SZ,company
250,三盛教育,300282.SZ,company
251,北信源,300352.SZ,company
252,美凯龙,601828.SH,company
253,敦煌种业,600354.SH,company
254,宁波港,601018.SH,company
255,新晨科技,300542.SZ,company
256,桂冠电力,600236.SH,company
257,东方创业,600278.SH,company
258,凯因科技,688687.SH,company
259,淳中科技,603516.SH,company
260,蓝英装备,300293.SZ,company
261,钧达股份,002865.SZ,company
262,寒武纪,688256.SH,company
263,泉峰汽车,603982.SH,company
264,京山轻机,000821.SZ,company
265,乐凯胶片,600135.SH,company
266,德联集团,002666.SZ,company
267,东宏股份,603856.SH,company
268,深南电A,000037.SZ,company
269,海顺新材,300501.SZ,company
270,激智科技,300566.SZ,company
271,阳泉煤业,600348.SH,company
