:START_ID,:END_ID,:TYPE,time
2197,245,cooperate,2019/9/17 12:00
1165,756,cooperate,2020/8/2 17:10
2082,2899,cooperate,2019/9/2 17:42
2082,262,cooperate,2019/8/30 11:25
2082,3897,cooperate,2019/7/18 14:39
2082,707,cooperate,2019/7/8 14:27
2082,2328,cooperate,2019/6/10 11:08
2082,3135,cooperate,2019/5/28 18:25
2082,3548,cooperate,2019/3/31 18:07
2082,217,cooperate,2018/10/30 17:28
2082,981,cooperate,2020/9/9 20:44
2082,2360,cooperate,2019/10/19 14:25
2082,2840,cooperate,2019/10/10 15:24
2082,743,cooperate,2021/9/15 19:34
2082,3285,cooperate,2021/3/17 18:55
2082,2467,cooperate,2021/3/14 16:30
2082,3154,cooperate,2021/3/3 9:47
2082,649,cooperate,2022/9/7 19:52
2082,560,cooperate,2022/9/2 14:46
2082,783,cooperate,2022/9/1 17:18
2082,1110,cooperate,2022/5/19 15:46
2082,2391,cooperate,2021/11/23 14:12
2082,1614,cooperate,2019/6/14 8:15
2082,934,cooperate,2019/5/17 13:16
2082,272,cooperate,2020/7/21 17:07
2082,530,cooperate,2020/10/13 15:43
2082,2341,cooperate,2022/4/28 18:44
2082,352,cooperate,2019/8/23 14:57
2082,3612,cooperate,2019/6/6 14:04
2082,1178,cooperate,2019/5/21 17:49
2082,3797,cooperate,2019/4/24 9:42
2082,207,cooperate,2019/4/17 17:04
2082,3886,cooperate,2018/11/28 20:31
2082,1400,cooperate,2019/12/23 12:14
2082,906,cooperate,2021/6/8 15:12
2082,781,cooperate,2020/11/11 13:02
139,2508,cooperate,2019/11/8 12:08
139,781,cooperate,2019/11/8 12:07
469,743,cooperate,2021/9/10 18:23
469,3116,cooperate,2020/4/23 12:43
469,1134,cooperate,2022/6/10 20:11
1605,1866,cooperate,2019/9/16 19:03
3566,2272,cooperate,2019/9/16 19:12
1299,2815,cooperate,2021/12/20 16:47
2508,2360,cooperate,2022/1/12 14:42
2508,841,cooperate,2021/6/10 16:30
2508,1400,cooperate,2021/9/17 20:34
2508,3014,cooperate,2021/9/7 15:16
1600,743,cooperate,2019/6/7 17:24
1600,2524,cooperate,2022/8/19 22:03
1600,3304,cooperate,2022/8/10 11:34
1600,3687,cooperate,2022/7/31 17:24
1600,3482,cooperate,2022/5/29 18:25
1600,783,cooperate,2021/12/5 11:18
1600,287,cooperate,2021/9/22 19:39
1600,3968,cooperate,2019/4/11 13:40
1600,906,cooperate,2019/2/27 11:22
1600,1448,cooperate,2021/9/14 5:50
1600,441,cooperate,2021/7/16 20:02
1600,2344,cooperate,2021/2/25 15:22
1600,2393,cooperate,2022/9/7 14:39
1600,1492,cooperate,2022/9/3 12:01
1600,1853,cooperate,2022/5/10 15:55
1600,1175,cooperate,2021/11/16 9:06
1600,1027,cooperate,2020/7/7 17:46
1600,1788,cooperate,2020/3/3 14:57
1600,3116,cooperate,2022/5/26 16:45
1600,2204,cooperate,2021/11/4 16:13
2702,191,cooperate,2019/7/5 17:54
