:START_ID,:END_ID,:TYPE
2675,2444,supply
1958,735,supply
1958,2311,supply
2152,308,supply
3954,3858,supply
3237,1401,supply
3109,3972,supply
1530,3737,supply
2678,3143,supply
2494,2176,supply
73,1600,supply
1480,2467,supply
1480,2171,supply
3460,1600,supply
3460,1220,supply
3460,2355,supply
738,2103,supply
2665,3568,supply
2665,3941,supply
3820,3194,supply
516,1882,supply
2730,2176,supply
1080,743,supply
1080,1600,supply
1202,1600,supply
1202,3557,supply
3580,3248,supply
2085,1600,supply
390,1600,supply
2313,2979,supply
2979,1600,supply
1350,707,supply
1052,1315,supply
1052,3805,supply
94,1717,supply
896,3737,supply
560,2177,supply
3216,887,supply
1707,3243,supply
3689,280,supply
3274,3381,supply
3078,3409,supply
3078,2259,supply
3737,3207,supply
3737,951,supply
2649,2914,supply
2649,3426,supply
2649,560,supply
2649,2962,supply
2649,561,supply
2649,217,supply
3479,1081,supply
237,2058,supply
1131,2665,supply
1606,3475,supply
184,1443,supply
3764,3626,supply
3456,2231,supply
3456,1784,supply
2471,3886,supply
2471,2979,supply
296,3886,supply
296,2359,supply
2377,2471,supply
2377,738,supply
571,3014,supply
571,517,supply
571,1134,supply
1949,1600,supply
1949,2049,supply
2784,561,supply
2784,3400,supply
2784,1055,supply
3377,1584,supply
547,1600,supply
3964,1600,supply
3964,783,supply
2178,796,supply
2432,1600,supply
60,3889,supply
60,3277,supply
60,2858,supply
2199,781,supply
2360,707,supply
3417,2536,supply
3417,3510,supply
963,707,supply
963,781,supply
963,3414,supply
963,1400,supply
963,2020,supply
583,215,supply
408,3546,supply
2947,743,supply
2947,441,supply
1638,2082,supply
1638,2339,supply
3867,217,supply
3867,781,supply
3337,3082,supply
3337,2781,supply
2960,3666,supply
2960,3857,supply
1378,1134,supply
2045,3498,supply
2045,2032,supply
3427,707,supply
2616,2577,supply
3111,1315,supply
3609,743,supply
3609,1600,supply
783,3735,supply
3727,2979,supply
439,3333,supply
3250,262,supply
3250,561,supply
2640,3666,supply
718,1600,supply
718,2418,supply
718,3053,supply
2176,3598,supply
2176,467,supply
2176,2263,supply
2176,388,supply
2176,3625,supply
2176,3795,supply
2022,646,supply
2022,781,supply
1114,3941,supply
3890,743,supply
679,3811,supply
679,2702,supply
2437,2467,supply
2437,2082,supply
3272,554,supply
286,15,supply
3758,217,supply
2742,217,supply
1837,2360,supply
218,315,supply
1869,217,supply
1869,2976,supply
3895,1784,supply
3895,2794,supply
2542,1784,supply
3913,2861,supply
3913,315,supply
1224,2840,supply
100,2677,supply
3786,1017,supply
3152,1607,supply
1066,3498,supply
2191,2784,supply
3818,2098,supply
698,1134,supply
2944,1480,supply
3421,2467,supply
3194,723,supply
3381,2753,supply
57,463,supply
57,2572,supply
2622,743,supply
2622,3276,supply
428,217,supply
2592,1606,supply
3317,1955,supply
246,3941,supply
2520,2781,supply
2765,2467,supply
2579,2283,supply
2579,441,supply
2579,743,supply
2957,1761,supply
2957,1600,supply
3631,3137,supply
1329,561,supply
3797,606,supply
2008,1600,supply
2008,3285,supply
1557,2073,supply
1902,2956,supply
1722,743,supply
2767,808,supply
1769,3014,supply
1769,1866,supply
1769,1134,supply
1769,2914,supply
1769,2665,supply
1769,561,supply
2215,2782,supply
1139,453,supply
3256,3014,supply
611,707,supply
578,1504,supply
2908,2914,supply
2908,707,supply
2908,1443,supply
2908,2094,supply
2908,1134,supply
1803,841,supply
1803,551,supply
3249,2377,supply
1029,537,supply
3594,743,supply
687,2082,supply
2308,272,supply
3382,3426,supply
3382,2724,supply
3382,2148,supply
3382,649,supply
3834,287,supply
3834,958,supply
949,2508,supply
2079,1789,supply
2561,2822,supply
2440,3941,supply
2671,1600,supply
2696,743,supply
2311,743,supply
2311,756,supply
597,3666,supply
597,2572,supply
2416,2312,supply
1909,1220,supply
192,3327,supply
2924,3462,supply
2924,743,supply
333,1493,supply
1448,217,supply
2153,2063,supply
951,756,supply
951,2606,supply
165,2360,supply
1674,3276,supply
2566,743,supply
2566,1345,supply
530,3304,supply
2025,2185,supply
3276,2665,supply
3276,1134,supply
1419,1911,supply
3654,743,supply
3654,2346,supply
934,3014,supply
975,1600,supply
975,743,supply
975,3219,supply
3220,707,supply
3220,217,supply
126,3399,supply
126,3198,supply
178,454,supply
2797,753,supply
2797,2032,supply
1630,1568,supply
2247,743,supply
2194,1220,supply
2194,3613,supply
189,2935,supply
3495,743,supply
3495,3884,supply
2412,759,supply
2725,2668,supply
704,1600,supply
2232,2127,supply
1116,3382,supply
910,707,supply
2688,488,supply
1931,1600,supply
1931,1222,supply
1444,1600,supply
841,2508,supply
2011,743,supply
2011,15,supply
3893,2840,supply
3893,1131,supply
3893,1039,supply
626,178,supply
626,10,supply
577,743,supply
1368,2432,supply
1368,506,supply
1730,3863,supply
3944,1600,supply
3646,1547,supply
1399,3014,supply
2937,1600,supply
2937,1638,supply
3015,743,supply
471,743,supply
702,743,supply
1061,2020,supply
3698,1676,supply
1033,1388,supply
3230,2108,supply
3207,743,supply
2480,3940,supply
1607,3965,supply
441,1220,supply
441,2548,supply
441,3116,supply
292,2502,supply
292,1971,supply
1263,3001,supply
1263,1600,supply
1263,2702,supply
659,1600,supply
791,1600,supply
3039,743,supply
2786,1484,supply
1632,1220,supply
1632,469,supply
1632,3666,supply
1632,496,supply
2909,1600,supply
2909,3116,supply
2909,3796,supply
1577,743,supply
2698,1784,supply
2698,3451,supply
3927,3527,supply
3050,549,supply
3050,3516,supply
1243,2032,supply
2740,174,supply
1761,743,supply
2404,1547,supply
2404,1600,supply
1795,707,supply
1795,217,supply
3642,1749,supply
256,565,supply
3857,3698,supply
1614,2883,supply
1614,15,supply
836,2176,supply
3088,1600,supply
2060,3304,supply
2253,670,supply
1490,3014,supply
1490,3867,supply
2077,2794,supply
1849,1600,supply
3401,2702,supply
360,441,supply
360,743,supply
1717,3854,supply
1717,1096,supply
1786,597,supply
1786,2572,supply
1786,3873,supply
1786,1401,supply
2289,743,supply
2038,707,supply
2038,217,supply
417,530,supply
3399,743,supply
2522,3243,supply
2231,1784,supply
2231,783,supply
2231,3264,supply
2344,1600,supply
2237,2450,supply
1929,783,supply
1008,2180,supply
287,3116,supply
3600,3941,supply
1862,1600,supply
1452,1392,supply
3448,217,supply
1083,3735,supply
3662,3640,supply
3561,3735,supply
317,3626,supply
2307,1749,supply
2075,2471,supply
2075,1784,supply
2075,784,supply
2075,1600,supply
1555,593,supply
3961,743,supply
2545,982,supply
2903,3941,supply
982,2045,supply
982,3538,supply
982,753,supply
2297,3711,supply
2661,1600,supply
3946,2341,supply
3946,783,supply
3946,3463,supply
276,707,supply
276,3260,supply
51,1220,supply
3909,2150,supply
3121,3666,supply
144,346,supply
1502,2185,supply
177,1255,supply
643,3068,supply
998,506,supply
2747,3014,supply
518,3914,supply
2418,3116,supply
2418,743,supply
753,2840,supply
2356,1955,supply
2356,2914,supply
2744,218,supply
2744,1254,supply
2507,10,supply
2932,1600,supply
2938,1600,supply
2994,704,supply
3541,330,supply
330,3541,supply
2204,1600,supply
3273,1256,supply
2233,3381,supply
1924,1629,supply
3463,743,supply
1986,743,supply
3800,3737,supply
3800,2185,supply
3383,2177,supply
2564,3425,supply
1813,1600,supply
2985,3968,supply
2826,561,supply
2826,2724,supply
666,2185,supply
2367,15,supply
1941,2994,supply
1941,1600,supply
3302,129,supply
1639,689,supply
3335,783,supply
2866,331,supply
387,1600,supply
3171,743,supply
1925,1600,supply
2090,506,supply
1652,630,supply
668,906,supply
1001,724,supply
1424,561,supply
1776,3626,supply
756,2108,supply
2719,1600,supply
2572,3238,supply
2572,1786,supply
1071,671,supply
1071,561,supply
1343,3941,supply
1779,1600,supply
1779,3083,supply
1412,1600,supply
3393,1600,supply
3393,3880,supply
3667,3851,supply
23,3626,supply
3675,2815,supply
2835,1322,supply
3026,1600,supply
49,1600,supply
49,906,supply
49,1079,supply
198,97,supply
3952,982,supply
3952,476,supply
3952,2032,supply
3952,203,supply
989,1600,supply
1565,3317,supply
2283,1600,supply
2217,2171,supply
2217,217,supply
1926,3116,supply
1926,3666,supply
595,1600,supply
2329,1600,supply
3027,1600,supply
3027,743,supply
355,126,supply
476,3626,supply
2064,1600,supply
1231,724,supply
3605,2579,supply
3605,3968,supply
3876,601,supply
2273,2860,supply
1568,2931,supply
1568,217,supply
1568,2613,supply
221,2045,supply
1271,3626,supply
2537,2019,supply
2537,982,supply
2537,501,supply
1195,2724,supply
1195,272,supply
1564,3400,supply
3483,2840,supply
3098,1600,supply
2486,743,supply
170,1600,supply
3454,1220,supply
589,743,supply
589,724,supply
3270,3889,supply
2853,3941,supply
3225,743,supply
3225,1116,supply
1330,1600,supply
1330,3890,supply
3824,1600,supply
447,1600,supply
502,781,supply
1743,781,supply
2779,1600,supply
2779,743,supply
174,1600,supply
3429,724,supply
2890,1600,supply
2546,1600,supply
2652,1035,supply
1043,1600,supply
1331,2150,supply
1817,1064,supply
3766,1600,supply
2081,3618,supply
1403,1600,supply
1403,1220,supply
1385,1262,supply
1344,2185,supply
3607,2665,supply
766,561,supply
3054,707,supply
3557,255,supply
1408,1400,supply
671,2113,supply
1440,3941,supply
1821,1315,supply
489,1098,supply
2478,720,supply
267,15,supply
1611,1600,supply
187,1087,supply
580,2397,supply
580,1322,supply
2999,3854,supply
2802,982,supply
2802,2545,supply
109,1784,supply
2743,3130,supply
3291,1603,supply
227,166,supply
1844,2506,supply
3227,1600,supply
1372,625,supply
1215,707,supply
1215,217,supply
1425,649,supply
1425,1955,supply
3327,3021,supply
3899,3096,supply
2689,2603,supply
958,97,supply
923,2060,supply
27,724,supply
3251,1220,supply
3251,3518,supply
1723,1220,supply
2014,3330,supply
2014,2545,supply
2305,2781,supply
3107,2962,supply
1708,707,supply
1787,783,supply
3031,2344,supply
3780,743,supply
2462,1220,supply
817,2840,supply
3166,2185,supply
966,2818,supply
2643,1443,supply
3446,3666,supply
2393,3468,supply
2526,743,supply
2400,743,supply
2600,2914,supply
1394,707,supply
1751,707,supply
3612,15,supply
3451,2698,supply
411,2603,supply
411,707,supply
411,561,supply
640,2656,supply
1465,3083,supply
1465,2103,supply
995,2308,supply
872,2125,supply
3115,3505,supply
1245,1106,supply
3471,2759,supply
1016,3737,supply
617,3048,supply
302,1315,supply
977,2327,supply
2877,3867,supply
2877,3323,supply
2877,217,supply
915,3854,supply
3390,530,supply
133,2195,supply
980,3438,supply
2284,1231,supply
3228,1784,supply
2958,1784,supply
1185,211,supply
1319,561,supply
3304,1600,supply
3304,3666,supply
2663,560,supply
3004,2176,supply
1123,1095,supply
1095,832,supply
3290,1600,supply
2349,743,supply
2098,707,supply
2098,2439,supply
1471,1600,supply
2033,743,supply
136,3486,supply
1918,2359,supply
3364,731,supply
269,3479,supply
1846,561,supply
3403,3968,supply
3403,2047,supply
432,820,supply
47,561,supply
364,1147,supply
2398,773,supply
858,3626,supply
